state,type,crimes,Year
Johor,theft_other,539,2018
Johor,theft_other,430,2019
Johor,theft_other,315,2020
Johor,theft_other,142,2021
Johor,theft_other,253,2022
Johor,theft_other,259,2023
Johor,theft_vehicle_lorry,87,2016
Johor,theft_vehicle_lorry,65,2017
Johor,theft_vehicle_lorry,55,2018
Johor,theft_vehicle_lorry,37,2019
Johor,theft_vehicle_lorry,16,2020
Johor,theft_vehicle_lorry,10,2021
Johor,theft_vehicle_lorry,5,2022
Johor,theft_vehicle_lorry,7,2023
Johor,theft_vehicle_motorcar,514,2016
Johor,theft_vehicle_motorcar,344,2017
Johor,theft_vehicle_motorcar,317,2018
Johor,theft_vehicle_motorcar,283,2019
Johor,theft_vehicle_motorcar,205,2020
Johor,theft_vehicle_motorcar,89,2021
Johor,theft_vehicle_motorcar,93,2022
Johor,theft_vehicle_motorcar,110,2023
Johor,theft_vehicle_motorcycle,1111,2016
Johor,theft_vehicle_motorcycle,945,2017
Johor,theft_vehicle_motorcycle,911,2018
Johor,theft_vehicle_motorcycle,733,2019
Johor,theft_vehicle_motorcycle,442,2020
Johor,theft_vehicle_motorcycle,177,2021
Johor,theft_vehicle_motorcycle,228,2022
Johor,theft_vehicle_motorcycle,304,2023
Johor,causing_injury,129,2016
Johor,causing_injury,96,2017
Johor,causing_injury,102,2018
Johor,causing_injury,140,2019
Johor,causing_injury,83,2020
Johor,causing_injury,57,2021
Johor,causing_injury,53,2022
Johor,causing_injury,60,2023
Johor,murder,7,2016
Johor,murder,8,2017
Johor,murder,5,2018
Johor,murder,1,2019
Johor,murder,3,2020
Johor,murder,0,2021
Johor,murder,4,2022
Johor,murder,4,2023
Johor,rape,23,2016
Johor,rape,16,2017
Johor,rape,19,2018
Johor,rape,23,2019
Johor,rape,17,2020
Johor,rape,19,2021
Johor,rape,10,2022
Johor,rape,24,2023
Johor,robbery_gang_armed,0,2016
Johor,robbery_gang_armed,1,2017
Johor,robbery_gang_armed,1,2018
Johor,robbery_gang_armed,0,2019
Johor,robbery_gang_armed,0,2020
Johor,robbery_gang_armed,0,2021
Johor,robbery_gang_armed,0,2022
Johor,robbery_gang_armed,0,2023
Johor,robbery_gang_unarmed,283,2016
Johor,robbery_gang_unarmed,202,2017
Johor,robbery_gang_unarmed,148,2018
Johor,robbery_gang_unarmed,173,2019
Johor,robbery_gang_unarmed,45,2020
Johor,robbery_gang_unarmed,64,2021
Johor,robbery_gang_unarmed,61,2022
Johor,robbery_gang_unarmed,43,2023
Johor,robbery_solo_armed,0,2016
Johor,robbery_solo_armed,0,2017
Johor,robbery_solo_armed,0,2018
Johor,robbery_solo_armed,0,2019
Johor,robbery_solo_armed,0,2020
Johor,robbery_solo_armed,0,2021
Johor,robbery_solo_armed,0,2022
